make,fuel-type,num-of-doors,num-of-cylinders,stroke,compression-ratio,horsepower,city-mpg,highway-mpg,price
alfa-romero,gas,two,four,2.68,9,111,21,27,13495
alfa-romero,gas,two,four,2.68,9,111,21,27,16500
alfa-romero,gas,two,six,3.47,9,154,19,26,16500
audi,gas,four,four,3.4,10,102,24,30,13950
audi,gas,four,five,3.4,8,115,18,22,17450
audi,gas,two,five,3.4,8.5,110,19,25,15250
audi,gas,four,five,3.4,8.5,110,19,25,17710
audi,gas,four,five,3.4,8.5,110,19,25,18920
audi,gas,four,five,3.4,8.3,140,17,20,23875
bmw,gas,two,four,2.8,8.8,101,23,29,16430
bmw,gas,four,four,2.8,8.8,101,23,29,16925
bmw,gas,two,six,3.19,9,121,21,28,20970
bmw,gas,four,six,3.19,9,121,21,28,21105
bmw,gas,four,six,3.19,9,121,20,25,24565
bmw,gas,four,six,3.39,8,182,16,22,30760
bmw,gas,two,six,3.39,8,182,16,22,41315
bmw,gas,four,six,3.39,8,182,15,20,36880
chevrolet,gas,two,three,3.03,9.5,48,47,53,5151
chevrolet,gas,two,four,3.11,9.6,70,38,43,6295
chevrolet,gas,four,four,3.11,9.6,70,38,43,6575
dodge,gas,two,four,3.23,9.41,68,37,41,5572
dodge,gas,two,four,3.23,9.4,68,31,38,6377
dodge,gas,two,four,3.39,7.6,102,24,30,7957
dodge,gas,four,four,3.23,9.4,68,31,38,6229
dodge,gas,four,four,3.23,9.4,68,31,38,6692
dodge,gas,four,four,3.23,9.4,68,31,38,7609
dodge,gas,four,four,3.46,8.5,88,24,30,8921
dodge,gas,two,four,3.9,7,145,19,24,12964
honda,gas,two,four,3.41,9.6,58,49,54,6479
honda,gas,two,four,3.41,9.2,76,31,38,6855
honda,gas,two,four,3.07,10.1,60,38,42,5399
honda,gas,two,four,3.41,9.2,76,30,34,6529
honda,gas,two,four,3.41,9.2,76,30,34,7129
honda,gas,four,four,3.41,9.2,76,30,34,7295
honda,gas,four,four,3.41,9.2,76,30,34,7295
honda,gas,two,four,3.58,9,86,27,33,7895
honda,gas,two,four,3.58,9,86,27,33,9095
honda,gas,four,four,3.58,9,86,27,33,8845
honda,gas,four,four,3.58,9,86,27,33,10295
honda,gas,four,four,3.58,9,101,24,28,12945
honda,gas,two,four,3.58,9.1,100,25,31,10345
isuzu,gas,four,four,3.23,8.5,78,24,29,6785
isuzu,gas,two,four,3.23,9.2,90,24,29,11048
jaguar,gas,four,six,4.17,8.1,176,15,19,32250
jaguar,gas,four,six,4.17,8.1,176,15,19,35550
jaguar,gas,two,twelve,2.76,11.5,262,13,17,36000
mazda,gas,two,four,3.15,9,68,30,31,5195
mazda,gas,two,four,3.15,9,68,31,38,6095
mazda,gas,two,four,3.15,9,68,31,38,6795
mazda,gas,four,four,3.15,9,68,31,38,6695
mazda,gas,four,four,3.15,9,68,31,38,7395
mazda,gas,two,four,3.39,8.6,84,26,32,8845
mazda,gas,four,four,3.39,8.6,84,26,32,8495
mazda,gas,two,four,3.39,8.6,84,26,32,10595
mazda,gas,four,four,3.39,8.6,84,26,32,10245
mazda,gas,four,four,3.39,8.6,84,26,32,11245
mazda,gas,four,four,3.16,8,120,19,27,18280
mazda,diesel,four,four,3.64,22,72,31,39,18344
mercedes-benz,diesel,four,five,3.64,21.5,123,22,25,25552
mercedes-benz,diesel,four,five,3.64,21.5,123,22,25,28248
mercedes-benz,diesel,two,five,3.64,21.5,123,22,25,28176
mercedes-benz,diesel,four,five,3.64,21.5,123,22,25,31600
mercedes-benz,gas,four,eight,3.1,8.3,155,16,18,34184
mercedes-benz,gas,two,eight,3.1,8.3,155,16,18,35056
mercedes-benz,gas,four,eight,3.35,8,184,14,16,40960
mercedes-benz,gas,two,eight,3.35,8,184,14,16,45400
mercury,gas,two,four,3.12,8,175,19,24,16503
mitsubishi,gas,two,four,3.23,9.4,68,37,41,5389
mitsubishi,gas,two,four,3.23,9.4,68,31,38,6189
mitsubishi,gas,two,four,3.23,9.4,68,31,38,6669
mitsubishi,gas,two,four,3.39,7.6,102,24,30,7689
mitsubishi,gas,two,four,3.46,7.5,116,23,30,9959
mitsubishi,gas,two,four,3.46,8.5,88,25,32,8499
mitsubishi,gas,two,four,3.86,7,145,19,24,12629
mitsubishi,gas,two,four,3.86,7,145,19,24,14869
mitsubishi,gas,two,four,3.86,7,145,19,24,14489
mitsubishi,gas,four,four,3.46,8.5,88,25,32,6989
mitsubishi,gas,four,four,3.46,8.5,88,25,32,8189
mitsubishi,gas,four,four,3.46,7.5,116,23,30,9279
mitsubishi,gas,four,four,3.46,7.5,116,23,30,9279
nissan,gas,two,four,3.29,9.4,69,31,37,5499
nissan,diesel,two,four,3.47,21.9,55,45,50,7099
nissan,gas,two,four,3.29,9.4,69,31,37,6649
nissan,gas,four,four,3.29,9.4,69,31,37,6849
nissan,gas,four,four,3.29,9.4,69,31,37,7349
nissan,gas,two,four,3.29,9.4,69,31,37,7299
nissan,gas,two,four,3.29,9.4,69,31,37,7799
nissan,gas,four,four,3.29,9.4,69,31,37,7499
nissan,gas,four,four,3.29,9.4,69,31,37,7999
nissan,gas,two,four,3.29,9.4,69,31,37,8249
nissan,gas,four,four,3.47,8.5,97,27,34,8949
nissan,gas,four,four,3.47,8.5,97,27,34,9549
nissan,gas,four,six,3.27,9,152,17,22,13499
nissan,gas,four,six,3.27,9,152,17,22,14399
nissan,gas,four,six,3.27,9,152,19,25,13499
nissan,gas,two,six,3.27,9,160,19,25,17199
nissan,gas,two,six,3.27,7.8,200,17,23,19699
nissan,gas,two,six,3.27,9,160,19,25,18399
peugot,gas,four,four,3.19,8.4,97,19,24,11900
peugot,diesel,four,four,3.52,21,95,28,33,13200
peugot,gas,four,four,3.19,8.4,97,19,24,12440
peugot,diesel,four,four,3.52,21,95,25,25,13860
peugot,gas,four,four,2.19,8.4,95,19,24,15580
peugot,diesel,four,four,3.52,21,95,28,33,16900
peugot,gas,four,four,2.19,8.4,95,19,24,16695
peugot,diesel,four,four,3.52,21,95,25,25,17075
peugot,gas,four,four,3.19,8.4,97,19,24,16630
peugot,diesel,four,four,3.52,21,95,28,33,17950
peugot,gas,four,four,3.21,7,142,18,24,18150
plymouth,gas,two,four,3.23,9.4,68,37,41,5572
plymouth,gas,two,four,3.39,7.6,102,24,30,7957
plymouth,gas,four,four,3.23,9.4,68,31,38,6229
plymouth,gas,four,four,3.23,9.4,68,31,38,6692
plymouth,gas,four,four,3.23,9.4,68,31,38,7609
plymouth,gas,four,four,3.46,8.5,88,24,30,8921
plymouth,gas,two,four,3.86,7,145,19,24,12764
porsche,gas,two,four,3.11,9.5,143,19,27,22018
porsche,gas,two,six,2.9,9.5,207,17,25,32528
porsche,gas,two,six,2.9,9.5,207,17,25,34028
porsche,gas,two,six,2.9,9.5,207,17,25,37028
renault,gas,four,four,3.9,8.7,?,23,31,9295
renault,gas,two,four,3.9,8.7,?,23,31,9895
saab,gas,two,four,3.07,9.31,110,21,28,11850
saab,gas,four,four,3.07,9.3,110,21,28,12170
saab,gas,two,four,2.07,9.3,110,21,28,15040
saab,gas,four,four,3.07,9.3,110,21,28,15510
saab,gas,two,four,3.07,9,160,19,26,18150
saab,gas,four,four,3.07,9,160,19,26,18620
subaru,gas,two,four,2.36,9,69,31,36,5118
subaru,gas,two,four,2.64,8.7,73,26,31,7053
subaru,gas,two,four,2.64,8.7,73,26,31,7603
subaru,gas,four,four,2.64,9.5,82,32,37,7126
subaru,gas,four,four,2.64,9.5,82,28,33,7775
